wavelength,A,B
350,0.039654765,0.80131549
351,0.039228745,0.80420719
352,0.038796001,0.80712965
353,0.038357979,0.81007374
354,0.037916115,0.81303041
355,0.037471834,0.81599062
356,0.03702656,0.81894534
357,0.036581711,0.82188553
358,0.036138711,0.82480211
359,0.035698982,0.82768597
360,0.035263957,0.83052793
361,0.034835075,0.8333187
362,0.034413791,0.83604893
363,0.034001572,0.83870913
364,0.033599905,0.84128966
365,0.033210297,0.84378073
366,0.032834279,0.84617237
367,0.032473411,0.84845441
368,0.032129282,0.85061646
369,0.031803514,0.8526479
370,0.031497767,0.85453783
371,0.03121374,0.85627508
372,0.030953176,0.85784817
373,0.030717866,0.8592453
374,0.030509649,0.8604543
375,0.03033042,0.86146263
376,0.030182132,0.86225737
377,0.0300668,0.86282514
378,0.029986505,0.86315212
379,0.029943396,0.86322401
380,0.0299397,0.863026
381,0.029976965,0.86254836
382,0.030053799,0.86180332
383,0.030168135,0.86080819
384,0.03031798,0.85957979
385,0.030501413,0.85813447
386,0.030716578,0.85648813
387,0.030961686,0.8546563
388,0.031235006,0.85265412
389,0.031534863,0.85049637
390,0.031859635,0.84819756
391,0.032207752,0.84577188
392,0.032577689,0.84323329
393,0.032967964,0.84059551
394,0.033377137,0.83787208
395,0.033803806,0.83507635
396,0.034246604,0.83222152
397,0.034704195,0.82932069
398,0.035175274,0.82638687
399,0.035658561,0.82343298
400,0.036152804,0.82047193
401,0.03665677,0.81751658
402,0.037169246,0.81457984
403,0.037689036,0.81167463
404,0.038214959,0.80881395
405,0.038745847,0.80601087
406,0.039280541,0.80327859
407,0.039817889,0.80063045
408,0.040356746,0.79807996
409,0.040895969,0.79564081
410,0.041434415,0.79332694
411,0.041970941,0.79115252
412,0.0425044,0.789132
413,0.043033632,0.78727565
414,0.04355745,0.78557607
415,0.04407465,0.78402169
416,0.044584015,0.78260122
417,0.045084312,0.78130363
418,0.045574291,0.78011816
419,0.04605268,0.77903425
420,0.046518184,0.77804156
421,0.046969484,0.77712993
422,0.04740523,0.77628934
423,0.047824041,0.77550995
424,0.048224505,0.77478202
425,0.048605171,0.77409591
426,0.048964548,0.77344207
427,0.049301103,0.77281102
428,0.049613258,0.77219332
429,0.049899385,0.77157956
430,0.050157805,0.77096032
431,0.050386783,0.7703262
432,0.050584526,0.76966775
433,0.050749175,0.76897547
434,0.05087881,0.7682398
435,0.050971436,0.76745109
436,0.051024988,0.76659959
437,0.05103732,0.76567542
438,0.051006205,0.76466855
439,0.050929328,0.76356878
440,0.050804283,0.76236574
441,0.050628567,0.76104885
442,0.050399576,0.75960729
443,0.0501146,0.75803
444,0.049772865,0.75631499
445,0.049381678,0.75449735
446,0.048950296,0.75262133
447,0.048487897,0.75073105
448,0.048003595,0.74887058
449,0.047506461,0.7470841
450,0.04700554,0.74541589
451,0.04650987,0.74391049
452,0.046028499,0.74261276
453,0.045570504,0.74156798
454,0.045145008,0.74082193
455,0.0447612,0.740421
456,0.044425498,0.74039487
457,0.044133002,0.74070443
458,0.043876043,0.74129386
459,0.043647025,0.74210789
460,0.043438406,0.74309172
461,0.043242688,0.74419087
462,0.043052395,0.74535109
463,0.042860064,0.74651828
464,0.042658228,0.74763831
465,0.0424394,0.748657
466,0.042197511,0.74953156
467,0.04193225,0.75026543
468,0.041644709,0.75087338
469,0.041335938,0.75136994
470,0.041006942,0.75176942
471,0.040658688,0.75208592
472,0.040292101,0.75233338
473,0.039908073,0.75252561
474,0.039507458,0.7526763
475,0.03909108,0.75279906
476,0.038659728,0.75290745
477,0.038214163,0.75301498
478,0.037755118,0.75313519
479,0.037283298,0.75328163
480,0.036799382,0.75346789
481,0.036304026,0.75370766
482,0.035797863,0.75401472
483,0.035281503,0.75440301
484,0.034755537,0.75488659
485,0.034220536,0.75547976
486,0.033677053,0.75619701
487,0.033125626,0.75705308
488,0.032566773,0.75806299
489,0.032001,0.75924207
490,0.0314288,0.760606
491,0.030850709,0.76216665
492,0.030267485,0.76391966
493,0.029679934,0.76585689
494,0.029088854,0.76797057
495,0.028495035,0.77025329
496,0.027899262,0.77269797
497,0.027302316,0.77529785
498,0.026704976,0.7780465
499,0.02610802,0.78093776
500,0.025512225,0.78396579
501,0.024918374,0.78712499
502,0.024327251,0.79041004
503,0.023739647,0.79381587
504,0.023156358,0.79733765
505,0.022578191,0.80097079
506,0.022005961,0.8047109
507,0.021440498,0.80855384
508,0.020882643,0.81249564
509,0.020333252,0.81653255
510,0.0197932,0.820661
511,0.01926335,0.82487513
512,0.01874447,0.8291593
513,0.018237321,0.83349554
514,0.017742687,0.83786598
515,0.017261378,0.84225281
516,0.01679423,0.84663826
517,0.016342107,0.85100455
518,0.015905905,0.85533389
519,0.015486549,0.85960837
520,0.015085,0.86381
521,0.014701875,0.86792358
522,0.014336316,0.87194549
523,0.013987123,0.87587484
524,0.013653126,0.87971059
525,0.013333188,0.88345147
526,0.013026199,0.88709607
527,0.012731075,0.89064275
528,0.012446756,0.89408968
529,0.012172204,0.89743484
530,0.0119064,0.900676
531,0.011648435,0.9038116
532,0.01139779,0.90684332
533,0.011154052,0.90977351
534,0.010916824,0.91260432
535,0.010685721,0.91533769
536,0.010460369,0.91797538
537,0.010240407,0.92051895
538,0.010025485,0.92296977
539,0.009815263,0.92532901
540,0.009609408,0.9275977
541,0.0094076,0.92977664
542,0.009209523,0.93186649
543,0.009014871,0.93386769
544,0.008823344,0.93578055
545,0.008634648,0.93760516
546,0.008448496,0.93934147
547,0.008264605,0.94098922
548,0.008082696,0.942548
549,0.007902495,0.94401721
550,0.00772373,0.94539606
551,0.007546135,0.9466836
552,0.007369442,0.94787869
553,0.007193389,0.94897999
554,0.007017712,0.949986
555,0.00684215,0.950895
556,0.006666703,0.9517068
557,0.006492417,0.95242778
558,0.006320604,0.95306587
559,0.006152581,0.95362881
560,0.00598967,0.95412419
561,0.005833207,0.95455948
562,0.005684537,0.95494201
563,0.005545024,0.95527903
564,0.005416047,0.95557767
565,0.00529901,0.955845
566,0.005194964,0.95608724
567,0.005103495,0.95630738
568,0.005023839,0.95650759
569,0.004955255,0.95669
570,0.004897028,0.95685668
571,0.004848459,0.95700971
572,0.004808872,0.95715111
573,0.004777606,0.95728288
574,0.004754019,0.95740702
575,0.004737484,0.95752549
576,0.004727387,0.95764026
577,0.004723127,0.95775329
578,0.004724116,0.95786651
579,0.004729776,0.95798188
580,0.004739537,0.95810136
581,0.004752839,0.95822691
582,0.004769128,0.9583605
583,0.004787857,0.95850413
584,0.004808482,0.95865981
585,0.004830465,0.95882956
586,0.004853269,0.95901546
587,0.00487636,0.9592196
588,0.004899204,0.95944411
589,0.004921266,0.95969118
590,0.00494201,0.959963
591,0.004961026,0.96026115
592,0.004978412,0.9605844
593,0.004994392,0.96093089
594,0.005009189,0.96129877
595,0.00502302,0.96168627
596,0.005036102,0.96209163
597,0.005048652,0.96251314
598,0.005060882,0.96294913
599,0.005073008,0.96339794
600,0.005085242,0.96385794
601,0.005097798,0.96432754
602,0.00511089,0.96480514
603,0.005124735,0.96528919
604,0.005139548,0.96577813
605,0.005155548,0.96627041
606,0.005172958,0.9667645
607,0.005192001,0.96725886
608,0.005212903,0.96775195
609,0.005235897,0.96824225
610,0.005261218,0.9687282
611,0.005289105,0.96920826
612,0.005319803,0.96968086
613,0.005353564,0.97014443
614,0.005390644,0.97059738
615,0.005431305,0.97103808
616,0.00547582,0.97146489
617,0.005524466,0.97187614
618,0.00557753,0.97227014
619,0.005635307,0.97264515
620,0.005698102,0.9729994
621,0.005766231,0.97333106
622,0.005840018,0.97363829
623,0.0059198,0.97391918
624,0.006005927,0.97417175
625,0.00609876,0.974394
626,0.006198558,0.97458443
627,0.006305129,0.97474379
628,0.00641818,0.97487338
629,0.006537428,0.9749744
630,0.006662605,0.97504803
631,0.006793455,0.97509538
632,0.006929731,0.9751175
633,0.007071199,0.97511539
634,0.007217634,0.97509002
635,0.007368823,0.9750423
636,0.007524559,0.97497309
637,0.007684648,0.97488321
638,0.007848903,0.97477346
639,0.008017144,0.97464456
640,0.008189201,0.97449723
641,0.00836491,0.97433214
642,0.008544117,0.9741499
643,0.008726672,0.97395113
644,0.008912433,0.97373638
645,0.009101264,0.97350618
646,0.009293036,0.97326105
647,0.009487625,0.97300144
648,0.009684914,0.97272781
649,0.009884789,0.97244056
650,0.010087143,0.97214008
651,0.010291874,0.97182674
652,0.010498884,0.97150086
653,0.01070808,0.97116276
654,0.010919373,0.97081272
655,0.011132678,0.97045101
656,0.011347915,0.97007786
657,0.011565008,0.96969349
658,0.011783883,0.96929808
659,0.012004471,0.96889182
660,0.012226706,0.96847484
661,0.012450525,0.96804728
662,0.012675869,0.96760924
663,0.012902681,0.96716081
664,0.013130909,0.96670205
665,0.0133605,0.966233
666,0.013590869,0.96575737
667,0.013819272,0.96529357
668,0.014042427,0.9648637
669,0.014257036,0.96448995
670,0.014459787,0.96419461
671,0.014647345,0.96400012
672,0.014816342,0.96392914
673,0.014963375,0.96400456
674,0.015084995,0.96424958
675,0.015177705,0.96468771
676,0.015237947,0.96534289
677,0.015262101,0.96623946
678,0.015246471,0.96740226
679,0.015187286,0.96885665
680,0.015080684,0.97062858
681,0.014922709,0.97274464
682,0.014709305,0.97523211
683,0.0144363,0.978119
684,0.014100562,0.98142637
685,0.013703456,0.98514508
686,0.013247377,0.98925904
687,0.012734603,0.99375295
688,0.012167301,0.9986123
689,0.011547524,1.0038233
690,0.010877225,1.0093728
691,0.010158253,1.0152484
692,0.00939236,1.0214383
693,0.008581204,1.0279314
694,0.007726354,1.0347173
695,0.006829288,1.0417858
696,0.005891403,1.0491277
697,0.004914013,1.0567341
698,0.003898353,1.0645967
699,0.00284558,1.0727078
700,0.00175678,1.08106
